Predicted
"[4.65015999e+00 1.05284514e+01 1.58274168e+01 2.11305654e+01
 2.63301081e+01 3.18033332e+01 3.71408272e+01 4.29583128e+01
 4.81207711e+01 5.33081160e+01 5.82337854e+01 6.28423229e+01
 6.72336188e+01 7.11383540e+01 7.51602005e+01 7.80759720e+01
 7.99194379e+01 5.68196857e+00 1.08607213e+01 1.65070765e+01
 2.24136109e+01 2.79783278e+01 3.36214705e+01 3.94674620e+01
 4.46797409e+01 5.04384256e+01 5.55008363e+01 6.03906276e+01
 6.50798555e+01 6.90848141e+01 7.27550513e+01 7.60649143e+01
 7.90450705e+01 8.26782835e+01 2.11184038e+00 9.59547316e+00
 1.54565434e+01 2.14890660e+01 2.71759581e+01 3.28564948e+01
 3.85704929e+01 4.41470865e+01 4.94825816e+01 5.45643320e+01
 5.94496958e+01 6.39688267e+01 6.80331300e+01 7.14383205e+01
 7.44449178e+01 7.68328493e+01 7.86491610e+01 2.42323882e+00
 9.11945623e+00 1.55914186e+01 2.16271283e+01 2.76550799e+01
 3.34050543e+01 3.91266983e+01 4.46368191e+01 4.98569841e+01
 5.50187552e+01 5.96759142e+01 6.40799879e+01 6.76720828e+01
 7.10288889e+01 7.41554466e+01 7.59656067e+01 7.77184817e+01
 1.17753592e+00 9.34706036e+00 1.52304546e+01 2.14407475e+01
 2.72995684e+01 3.30537787e+01 3.87297667e+01 4.45899867e+01
 4.94546825e+01 5.43878673e+01 5.90695290e+01 6.31570120e+01
 6.68700885e+01 6.99806731e+01 7.25641679e+01 7.45796147e+01
 7.55960981e+01 6.34349973e-02 8.85629722e+00 1.52952919e+01
 2.16698831e+01 2.93061816e+01 3.48305205e+01 4.05616483e+01
 4.53136697e+01 5.00920235e+01 5.46869483e+01 5.90120911e+01
 6.30211272e+01 6.63617042e+01 6.92908865e+01 7.13965329e+01
 7.31714647e+01 7.42348385e+01 4.77858006e+00 1.22093767e+01
 1.78622207e+01 2.48489286e+01 3.05614930e+01 3.62225451e+01
 4.16028740e+01 4.73863784e+01 5.14786375e+01 5.60626264e+01
 6.01351340e+01 6.37468489e+01 6.67633105e+01 6.94678394e+01
 7.17610273e+01 7.35200139e+01 7.52409770e+01 1.91333034e+00
 1.14066358e+01 1.85854853e+01 2.43851777e+01 3.03624415e+01
 3.61059095e+01 4.16158028e+01 4.66811574e+01 5.13097383e+01
 5.56134584e+01 5.95891768e+01 6.31146621e+01 6.61290583e+01
 6.86972483e+01 7.07303729e+01 7.22741774e+01 7.22408735e+01
 2.67646226e+00 1.15435741e+01]"
